2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Genmodel_ID
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,27,19,0,21
0,0,0,0,0,0,0,0,766,915,882,763,545,762,717,66,2,1,0,0,22
0,0,0,0,0,0,0,0,0,0,0,165,491,516,1612,3132,3295,3907,2866,2144,24
0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,29,114,270,65,45,26
0,0,0,0,0,0,0,74,172,97,120,90,75,56,0,0,0,0,0,0,29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,409,777,223,0,21
0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1001
0,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
0,0,0,0,13,23,10,13,4,1,0,0,0,0,0,0,0,0,0,0,34
0,0,0,0,0,0,0,0,0,0,0,1,3,6,5,3,0,0,0,0,35
0,0,0,0,0,0,38,39,50,39,69,31,20,10,16,15,6,0,0,0,31
0,0,0,0,0,0,0,0,0,0,0,25,34,48,43,50,51,32,2,0,36
0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,37
0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,38
140,339,466,377,473,497,652,744,268,5,0,0,0,0,0,0,0,0,0,0,41
215,286,373,383,312,21,31,6,0,0,0,0,0,0,0,0,0,0,0,0,42
0,0,0,0,1,564,1407,1218,1104,813,517,95,0,1,0,0,0,0,3,0,44
35,29,28,42,53,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,46
0,0,0,0,0,0,0,0,0,0,0,0,0,84,68,116,106,13,2,0,47
0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,48
0,0,0,0,0,503,483,548,445,103,25,0,0,0,0,0,0,0,0,0,49
0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,159,1849,1427,1392,676,410
0,0,0,0,0,0,0,0,0,2084,6026,3721,3242,3206,3019,2763,1486,834,564,524,411
0,0,0,206,427,480,800,734,174,116,12,0,0,0,0,0,0,0,0,0,412
143,118,73,50,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413
0,0,0,0,0,0,0,19,4797,3977,3188,2521,1801,1734,1592,1444,706,378,36,0,414
184,69,62,53,47,9,497,518,114,103,19,0,1,0,0,0,0,0,0,0,415
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,1023,1159,679,416
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,149,102,1011
0,0,0,0,0,0,0,0,0,4,61,45,12,12,0,0,0,0,0,0,61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,667,404,326,150,62
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,612
234,193,163,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
0,0,0,225,901,510,550,399,215,158,75,64,149,111,24,140,28,0,0,0,64
0,0,0,0,0,0,0,0,0,0,0,0,0,57,159,11,0,0,0,0,64
0,0,0,0,0,0,3,75,151,149,124,100,1,0,0,0,0,52,287,202,65
0,0,0,0,0,0,0,0,0,130,112,63,97,86,94,46,48,35,38,15,66
0,1,1,6,54,24,49,3,0,0,0,0,6,88,173,134,181,140,37,0,68
0,1,0,0,90,967,753,526,417,285,241,278,278,301,310,334,243,421,688,191,69
0,0,0,0,0,0,0,0,0,0,77,94,3,0,0,0,0,0,0,0,610
0,0,0,0,0,0,0,0,0,1451,16721,18743,22405,22709,22789,24047,21212,19038,19976,13292,71
1938,2392,1877,2046,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72
1492,2302,3665,8405,15652,19805,21098,24398,26633,27721,23030,26994,28775,38841,39145,34335,27935,22958,17396,15079,73
2298,5688,9607,13587,15501,20218,21935,21339,16367,15510,15958,15506,17454,18080,17375,23312,19667,12026,13013,8903,75
0,0,0,0,0,0,1468,4942,7039,11067,9864,10098,11108,10778,9925,7766,10868,9063,9572,5155,79
611,1165,1576,2537,4082,5845,9253,8408,5368,8049,8334,9551,11637,11514,11745,13552,8973,8392,9843,4069,711
0,0,0,0,0,0,0,0,0,144,1848,1424,1981,1909,1982,2262,1489,1417,1572,729,715
92,100,174,378,552,535,748,878,472,588,913,818,777,879,835,707,572,928,758,404,716
0,2,0,1,0,430,632,561,225,0,1,0,0,0,0,0,0,0,0,0,717
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,5858,751
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,11645,14253,15487,14817,718
0,0,0,0,0,0,0,0,0,0,481,6833,12025,13855,14277,16640,15598,12550,13987,12674,719
0,0,0,0,0,0,0,210,4111,3913,5819,4881,5796,7582,8950,9620,9167,11504,12148,8364,720
0,0,0,0,0,1693,3952,2717,1354,1607,1883,2423,3382,3319,3282,4827,4309,4092,4606,3927,721
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,1813,933,749
6,5,2,0,0,1,1,2,0,92,387,32,1,1,0,0,0,1,0,0,722
0,0,0,0,0,0,263,493,261,291,243,132,203,210,192,331,298,254,131,121,723
0,2,0,0,0,0,0,367,602,465,163,84,6,1,2,0,0,1,0,0,735
0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,1107,782,1145,837,312,725
126,3,0,0,0,946,1082,57,1,0,0,53,476,776,429,0,3,550,249,491,726
0,0,0,0,0,0,0,0,0,0,0,69,215,323,228,2,0,37,407,162,730
0,38,290,132,26,0,0,218,200,55,0,0,126,446,622,649,633,200,0,663,731
0,0,0,0,0,0,0,0,0,0,0,0,7,108,109,125,84,9,0,127,733
0,0,0,0,0,0,0,1,0,0,0,0,11,411,310,229,0,0,37,697,724
0,0,0,0,0,0,0,0,0,0,0,0,0,429,908,586,637,307,1,0,734
436,500,310,2,0,89,1157,579,269,700,804,582,459,2808,3787,4144,4917,3017,2705,1404,735
29,0,188,611,429,360,226,57,374,600,486,389,384,398,416,101,2016,1334,227,676,736
0,0,0,0,0,0,408,575,143,601,539,261,318,422,722,764,3350,2283,85,257,739
29,31,19,4,0,100,92,41,17,28,1,61,88,79,96,117,165,151,117,84,741
0,0,0,0,0,0,0,0,0,0,0,34,66,50,117,68,54,7,70,66,742
45,70,5,0,0,75,96,56,18,6,0,37,56,69,175,210,62,0,0,23,743
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881,366,750
0,0,1,0,0,0,0,0,0,0,0,0,685,1775,2172,2046,1237,2046,464,1198,744
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,1016,871,170,568,745
3606,5115,5827,5527,4047,3190,8371,7497,6208,6524,6507,5507,5973,3298,1485,1837,2856,1875,331,178,746
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,110,334,216,145,747
0,0,0,0,0,0,0,0,0,1,0,133,368,590,7105,6977,3992,1836,4003,2716,748
193,134,106,90,106,73,61,40,29,5,0,1,0,0,0,0,0,0,0,0,101
12,8,11,0,0,21,28,14,10,5,1,0,0,0,0,0,0,0,0,0,102
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,342,545,526,387,436,103
0,0,0,0,0,0,0,28,16,3,1,0,0,0,0,0,0,0,0,0,104
10,11,14,1111,1157,1033,1242,821,403,477,517,704,683,713,774,808,619,600,835,699,105
0,0,0,0,1,0,0,0,0,0,0,0,56,187,163,126,85,56,1,26,106
0,0,0,0,0,0,0,0,0,18,81,56,54,81,90,110,72,38,52,29,107
0,0,0,3541,12155,14621,16022,21738,24467,27149,25065,30517,36583,29722,30499,28879,27044,22628,23624,20764,81
0,0,0,0,0,0,0,0,0,0,0,0,1,4376,15197,19046,15426,18884,14842,9408,82
9056,13416,17630,17464,21106,29965,38244,31514,28532,32119,33730,37271,37365,34307,32799,32119,30716,25391,25262,19985,85
